fecha;valor
04-01-21;710.95
05-01-21;702.93
06-01-21;702.29
07-01-21;696.18
08-01-21;709.99
11-01-21;713.28
12-01-21;718.89
13-01-21;725.24
14-01-21;739.72
15-01-21;735.35
18-01-21;735.06
19-01-21;736.11
20-01-21;733.73
21-01-21;730.38
22-01-21;715.56
25-01-21;724.26
26-01-21;731.92
27-01-21;731
28-01-21;736.88
29-01-21;741.4
01-02-21;734.62
02-02-21;731.66
03-02-21;734.86
04-02-21;730.53
05-02-21;737.23
08-02-21;736.65
09-02-21;735.07
10-02-21;733.13
11-02-21;728.9
12-02-21;722.52
15-02-21;724.39
16-02-21;718.45
17-02-21;717.38
18-02-21;719.78
19-02-21;712.14
22-02-21;707.12
23-02-21;709.65
24-02-21;706.76
25-02-21;703.65
26-02-21;708.04
01-03-21;719.91
02-03-21;721.2
03-03-21;726.74
04-03-21;731.3
05-03-21;729.15
08-03-21;733.11
09-03-21;738.46
10-03-21;733.42
11-03-21;728.89
12-03-21;718.4
15-03-21;718.37
16-03-21;721.49
17-03-21;723.47
18-03-21;730.93
19-03-21;724.59
22-03-21;717.96
23-03-21;716.46
24-03-21;720.62
25-03-21;723.35
26-03-21;730.82
29-03-21;729.5
30-03-21;736.17
31-03-21;732.11
01-04-21;721.82
05-04-21;717.12
06-04-21;717.9
07-04-21;718.17
08-04-21;714.21
09-04-21;708.09
12-04-21;711.23
13-04-21;709.51
14-04-21;708.71
15-04-21;707.25
16-04-21;701.98
19-04-21;701.55
20-04-21;700.96
21-04-21;697.19
22-04-21;696.8
23-04-21;705.41
26-04-21;712.54
27-04-21;707.05
28-04-21;702.02
29-04-21;700.15
30-04-21;705.09
03-05-21;711.06
04-05-21;706.29
05-05-21;705.25
06-05-21;703.09
07-05-21;701.27
10-05-21;694.47
11-05-21;693.74
12-05-21;700.04
13-05-21;707.19
14-05-21;708.64
17-05-21;703.17
18-05-21;715.62
19-05-21;713.63
20-05-21;715.31
24-05-21;716.41
25-05-21;727.09
26-05-21;734.75
27-05-21;732.82
28-05-21;730.43
31-05-21;724.92
01-06-21;722.11
02-06-21;721.52
03-06-21;720.44
04-06-21;719.93
07-06-21;717.12
08-06-21;716.06
09-06-21;717.82
10-06-21;718.98
11-06-21;720.77
14-06-21;720.28
15-06-21;719.17
16-06-21;725.11
17-06-21;726.62
18-06-21;735.69
22-06-21;746.17
23-06-21;749.34
24-06-21;735.13
25-06-21;731.1
29-06-21;732.25
30-06-21;735.28
01-07-21;727.76
02-07-21;737.79
05-07-21;735.06
